name,uri,genres,artist,mood,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Sway,2ajUl8lBLAXOXNpG4NEPMz,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Michael Bublé,happy,0 days 00:02:28.856000,0.865,0.456,0.184,0.864,0.137,-10.367,0.288,143.879,0.71,1
Sway,2ajUl8lBLAXOXNpG4NEPMz,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Michael Bublé,happy,0 days 00:03:08.067000,0.753,0.713,0.639,0.0,0.0878,-5.529,0.0313,125.959,0.737,4
All Star,22c2pt75xtnDddA5Zlm0yy,"['alternative rock', 'pop rock']",Smash Mouth,happy,0 days 00:03:20.560000,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,0.77,4
Reggae Night,46JMEuyi5JFYSRzxeIWk9Q,"['dub', 'reggae', 'roots reggae']",Jimmy Cliff,happy,0 days 00:05:22.440000,0.301,0.801,0.757,8.25e-06,0.0708,-7.13,0.0369,109.366,0.962,4
Viva L'amour,4xZl9afc0L9yCoxLK7dVmx,"['afropop', 'alte', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Sabina,happy,0 days 00:03:04.693000,0.259,0.721,0.811,0.0,0.0951,-6.871,0.0426,142.128,0.969,4
Lets Twist Again,2LL1UuRkaqDUjgjn7dBXbx,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",Chubby Checker,happy,0 days 00:02:22.840000,0.0698,0.634,0.744,0.0,0.0465,-5.062,0.041,162.4,0.967,4
The Look,46WVVHERbHreW3Ap2ztQt8,"['europop', 'new wave pop', 'pop rock', 'soft rock', 'swedish pop']",Roxette,happy,0 days 00:03:57.320000,0.0531,0.634,0.838,8.34e-06,0.0522,-5.363,0.0413,95.011,0.541,4
Don't Go Breaking My Heart,0bV4WoGRzmYV6y7OojZvqr,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",Elton John,happy,0 days 00:01:51.296000,0.654,0.585,0.284,0.888,0.109,-13.448,0.0466,83.981,0.0733,4
Don't Go Breaking My Heart,0bV4WoGRzmYV6y7OojZvqr,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",Elton John,happy,0 days 00:04:35.387000,0.179,0.73,0.858,1.54e-06,0.0611,-8.221,0.036,131.445,0.765,4
Can't Stand Me Now,71D4LseR0RADPbyvMeTIHR,"['alternative rock', 'britpop', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']",The Libertines,happy,0 days 00:03:23.733000,0.0111,0.368,0.935,0.00201,0.0948,-3.204,0.0587,164.425,0.558,4
All I Wanna Do,4cqHVuDLFbO1XCr4nmks4S,"['alternative metal', 'nu metal']",Sheryl Crow,happy,0 days 00:04:32.107000,0.111,0.82,0.528,0.0186,0.257,-11.179,0.0321,120.091,0.931,4
Smile,79z9QkhHePTFsSeVw9uyj0,"['dance pop', 'pop']",Lily Allen,happy,0 days 00:03:16.893000,0.00143,0.632,0.639,0.0,0.221,-5.938,0.0259,95.506,0.733,4
Sir Duke,2udw7RDkldLFIPG9WYdVtT,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",Stevie Wonder,happy,0 days 00:03:52.760000,0.16,0.588,0.568,0.0,0.0792,-9.766,0.0672,106.938,0.952,4
Butterfly,095eK5hacN4Y9r7k8TyJ1B,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",Jason Mraz,happy,0 days 00:04:59.067000,0.147,0.718,0.658,0.0,0.183,-7.207,0.0665,108.105,0.806,4
Uh La La La,1ahAVyeP1B027c03NlVSRd,"['kirtan', 'shamanic', 'world devotional']",Alexia,happy,0 days 00:03:45.640000,0.289,0.779,0.589,0.000535,0.331,-11.562,0.0893,92.308,0.815,4
Build Me up Buttercup (Re-Recorded),2Vi0fxL1fyE7KrKt3JihJn,"['brill building pop', 'bubblegum pop', 'motown']",The Foundations,happy,0 days 00:03:05.480000,0.158,0.707,0.814,2.72e-06,0.106,-7.364,0.0367,132.062,0.922,4
Pencil Full of Lead,6ACPfkfDfJfGGE4oKfbiRY,"['british soul', 'neo mellow', 'scottish singer-songwriter']",Paolo Nutini,happy,0 days 00:02:26.733000,0.324,0.735,0.767,0.0,0.146,-6.536,0.116,106.132,0.833,4
Daddy Cool,3WMbD1OyfKuwWDWMNbPQ4g,"['deep groove house', 'house', 'pop dance', 'uk dance']",Boney M.,happy,0 days 00:03:28.600000,0.281,0.763,0.777,0.79,0.134,-6.932,0.0364,124.431,0.929,4
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,['alternative hip hop'],Gorillaz,happy,0 days 00:03:42.640000,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,0.772,4
Happy,4zKox8k2E0QUS6Fs1FbHAR,"['guatemalan pop', 'r&b en espanol', 'urbano espanol']",EGOISM,happy,0 days 00:03:22.502000,0.00173,0.487,0.798,0.00548,0.106,-6.441,0.0313,144.997,0.391,4
Johnny B. Goode,7KkzVlps826NezcpXPvEuV,"['adult standards', 'blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",Chuck Berry,happy,0 days 00:02:42.093000,0.697,0.502,0.931,3.92e-06,0.281,-4.686,0.174,166.407,0.903,4
Sleeping in My Car - Single Version,2ifpR5UJBqfXYPgHvgWN91,"['europop', 'new wave pop', 'pop rock', 'soft rock', 'swedish pop']",Roxette,happy,0 days 00:03:34.160000,0.0123,0.546,0.85,0.0,0.193,-4.315,0.0322,135.162,0.584,4
Pack Up,5WLhAmEGwePI2RD9ZECTw7,"['house', 'pop', 'uk dance']",Eliza Doolittle,happy,0 days 00:03:11.027000,0.488,0.712,0.775,0.0,0.7,-6.089,0.0572,134.902,0.917,4
Soul Galore,2aD4W01yVwT6SsZF4m1FAJ,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Jackie Wilson,happy,0 days 00:02:47.467000,0.0985,0.556,0.895,1.67e-05,0.227,-5.093,0.0696,77.546,0.559,4
Fuck You,4ycLiPVzE5KamivXrAzGFG,['atl hip hop'],CeeLo Green,happy,0 days 00:03:42.933000,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738,4
Karma Chameleon,4NH4xiPQ7TqNGqj6pZV4ki,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",Culture Club,happy,0 days 00:04:02.200000,0.231,0.668,0.473,0.0,0.115,-15.402,0.0336,91.976,0.962,4
Dreaming,79M4YK2A4CNxvmdc6A7her,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'la indie', 'la pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock']",Smallpools,happy,0 days 00:03:36.573000,0.000527,0.615,0.887,0.0,0.0667,-2.924,0.0453,119.0,0.877,4
Dreaming,79M4YK2A4CNxvmdc6A7her,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'la indie', 'la pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock']",Smallpools,happy,0 days 00:03:36.560000,0.000457,0.624,0.878,0.0,0.0656,-2.934,0.0514,119.106,0.878,4
Relight My Fire - Single Version,0ZvLrvwzp0nBkfmtzL7XO1,"['disco', 'post-disco']",Dan Hartman,happy,0 days 00:03:44.333000,0.0687,0.759,0.871,0.0,0.342,-7.034,0.0391,120.43,0.871,4
Animal,4XTTwW06rMgud7yS1nySZf,"['alternative dance', 'dance-punk', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",Miike Snow,happy,0 days 00:04:23.880000,0.0117,0.763,0.721,7.69e-06,0.0752,-6.767,0.0986,118.049,0.657,4
I Wanna Dance with Somebody (Who Loves Me),2k1np6GRFvKjgjYfo2g39B,"['dance pop', 'pop', 'urban contemporary']",Whitney Houston,happy,0 days 00:04:51.293000,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.814,0.867,4
Mercy,1dKm4a7TOYFzzTQvU59C59,"['british soul', 'dance pop', 'pop rock']",Duffy,happy,0 days 00:03:39.920000,0.266,0.793,0.859,0.000356,0.133,-3.774,0.0332,129.912,0.964,4
Mercy,1dKm4a7TOYFzzTQvU59C59,"['british soul', 'dance pop', 'pop rock']",Duffy,happy,0 days 00:03:28.733000,0.118,0.561,0.674,0.0,0.111,-4.882,0.0818,148.127,0.383,4
Two Princes,4ePP9So5xRzspjLFVVbj90,"['alternative rock', 'pop rock', 'rock']",Spin Doctors,happy,0 days 00:04:16.733000,0.00162,0.543,0.912,2.1e-06,0.0565,-10.71,0.0601,103.731,0.836,4
Girls Just Want to Have Fun,7sMGwiS4vOMcz86ZY3vKYM,"['dance pop', 'mellow gold', 'new wave pop', 'permanent wave', 'pop rock', 'soft rock']",Cyndi Lauper,happy,0 days 00:03:48.120000,0.414,0.705,0.847,3.21e-06,0.406,-2.588,0.0361,120.527,0.743,4
We're from Barcelona,6gobLJ63a1TNrSrU53tSj5,"['swedish alternative rock', 'swedish indie pop']",I'm From Barcelona,happy,0 days 00:03:02.427000,0.0984,0.59,0.93,0.00332,0.786,-4.259,0.0374,119.923,0.954,4
I Don't Feel Like Dancin',13pyGLYmBjYgvOMIEivX2K,"['dance pop', 'dance rock', 'electropop', 'pop rock']",Scissor Sisters,happy,0 days 00:04:48.360000,0.018,0.71,0.917,0.0,0.335,-3.385,0.0287,108.031,0.83,4
Lemon Tree,1yN2z5XVtaAOYGdeEqEuqd,['german pop rock'],Fools Garden,happy,0 days 00:03:11.027000,0.672,0.669,0.479,0.0,0.11,-8.849,0.0442,143.159,0.679,4
Foundations,3PY6DWrkuIt6LZgFesrIkJ,"['anti-folk', 'electropop', 'piano rock']",Kate Nash,happy,0 days 00:04:05.133000,0.0982,0.565,0.912,0.0,0.0839,-4.036,0.056,84.49,0.881,4
I Want You Back,3b0EOvScbZUc0qJx0E1L2z,"['adult standards', 'motown', 'soul']",The Jackson 5,happy,0 days 00:02:56.333000,0.29,0.639,0.548,9.68e-05,0.366,-13.534,0.0394,98.359,0.887,4
Stayin' Alive - Remastered Version,3LmpQiFNgFCnvAnhhvKUyI,"['disco', 'mellow gold', 'soft rock']",Bee Gees,happy,0 days 00:04:45.200000,0.0696,0.675,0.899,0.000139,0.33,-6.124,0.0418,103.683,0.91,4
Time to Pretend,3Q9FA2LP9Abih9xkFeNb6U,"['hip hop', 'ohio hip hop', 'rap']",MGMT,happy,0 days 00:04:21,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,100.99,0.421,3
Footloose,1Ppwc43WYFEBXw2n1ePhDY,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",Kenny Loggins,happy,0 days 00:03:45.880000,0.0719,0.594,0.927,5e-05,0.079,-2.691,0.0675,173.927,0.648,4
Mr. Pitiful,7GH4CmhitO7eLNLnUBtduQ,['neo mellow'],Matt Costa,happy,0 days 00:02:56.173000,0.175,0.76,0.714,0.0,0.0778,-7.134,0.0274,110.007,0.774,4
"Could You Be Loved - 12"" Mix",3cc66vpbbkDNgtSnWgKked,"['reggae', 'roots reggae']",Bob Marley & The Wailers,happy,0 days 00:05:25.307000,0.274,0.874,0.793,0.000219,0.123,-7.979,0.0945,102.938,0.791,4
Movin' on Up,67ncFJWaIbJdqZl1bpEppz,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",Primal Scream,happy,0 days 00:03:48.267000,0.103,0.523,0.76,0.00068,0.0666,-12.437,0.0325,94.267,0.581,4
You Never Can Tell - 1964 Single Version / Mono,2LcV5dZWN47XVCVZ1dFwfQ,"['adult standards', 'blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",Chuck Berry,happy,0 days 00:02:40.867000,0.72,0.573,0.837,3.24e-05,0.242,-10.224,0.0977,157.138,0.929,4
Reflections,6MByWSkfqebVmpPw3pA1uR,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop rock', 'stomp and holler']",MisterWives,happy,0 days 00:03:06.440000,0.0201,0.682,0.681,0.0162,0.101,-5.435,0.0291,111.037,0.577,4
You Only Live Once,4fPBB44eDH71YohayI4eKV,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",The Strokes,happy,0 days 00:03:09.227000,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968,4
It's a Beautiful Day,0mvkwaZMP2gAy2ApQLtZRv,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Michael Bublé,happy,0 days 00:03:19.267000,0.0559,0.532,0.795,0.0,0.295,-3.979,0.0358,143.837,0.78,4
What You Know,1qfYG2JrchEyJiqKnkE7YQ,"['alternative dance', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']",Two Door Cinema Club,happy,0 days 00:03:09.693000,0.000665,0.55,0.753,7.74e-06,0.0921,-4.003,0.0407,139.048,0.841,4
S.O.B.,41K81NpjapePhBdIKC3QFQ,"['funk', 'indie folk', 'modern blues rock', 'new americana', 'rock', 'stomp and holler']",Nathaniel Rateliff & The Night Sweats,happy,0 days 00:04:07.613000,0.264,0.701,0.595,0.00421,0.449,-6.484,0.0447,109.991,0.115,4
Black Or White,5YAY2D4s3o0QNOpFwEsynX,"['pop', 'r&b', 'soul']",Michael Jackson,happy,0 days 00:04:16.187000,0.177,0.767,0.895,0.0253,0.0683,-3.633,0.0871,114.789,0.884,4
Alright,5xC8uOesnn0udeXAYlAnoY,"['alternative rock', 'britpop', 'modern rock', 'oxford indie', 'pop rock', 'rock']",Supergrass,happy,0 days 00:03:00.880000,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,0.701,4
You Make My Dreams,0293bTPojlkLvyr8ojc74y,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Daryl Hall & John Oates,happy,0 days 00:03:11.480000,0.312,0.752,0.694,0.0348,0.0577,-5.385,0.062,167.263,0.869,4
How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,"['dance pop', 'pop', 'urban contemporary']",Whitney Houston,happy,0 days 00:04:35.533000,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,119.49,0.928,4
Don't You Worry 'Bout A Thing,4RXZXxI9xvfVUeE7SYDPDV,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",Stevie Wonder,happy,0 days 00:04:44.747000,0.0551,0.712,0.636,0.0,0.0868,-11.542,0.0454,124.669,0.9,4
"Hakuna Matata - From ""The Lion King""/Soundtrack",5k3U0OGYBccHdKJJu3HrUN,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']",Nathan Lane,happy,0 days 00:03:33.600000,0.617,0.408,0.313,1.18e-05,0.115,-18.09,0.137,170.013,0.725,4
In the Summertime (Re-Recorded),6fOXeZLwVZ1J48d3xz6JnY,"['british blues', 'bubblegum pop', 'classic uk pop']",Mungo Jerry,happy,0 days 00:03:39.727000,0.609,0.598,0.66,0.0,0.154,-8.948,0.151,165.92,0.938,4
Twistin' The Night Away,3I3W71Hi6zFnXIeGHJuauN,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",Sam Cooke,happy,0 days 00:02:41.333000,0.164,0.535,0.678,0.0,0.0883,-7.809,0.0437,160.938,0.944,4
Love Rollercoaster,6OBeM4d4RGzxcMphQVSgED,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']",Ohio Players,happy,0 days 00:04:52.533000,0.224,0.61,0.889,2.6e-05,0.0529,-6.566,0.0905,115.1,0.491,4
Send Me on My Way,6hs3SDnbO3f6VQuPO4KBEb,"['jam band', 'pittsburgh rock']",Rusted Root,happy,0 days 00:04:23.333000,0.114,0.5,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0.745,4
I Get Around,3mXexrmtPJ1KdWN37rYePx,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",The Beach Boys,happy,0 days 00:02:13.760000,0.32,0.388,0.63,0.0,0.0738,-6.292,0.0453,145.931,0.774,4
Ain't Too Proud To Beg,22x73BTJpIkciL7605zZ66,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",The Temptations,happy,0 days 00:02:33.973000,0.457,0.77,0.774,0.0,0.0752,-2.709,0.0445,119.471,0.943,4
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Beyoncé,happy,0 days 00:04:27.413000,0.0849,0.652,0.748,0.0,0.604,-5.242,0.0887,94.1,0.652,4
Beyond the Sea,2EIaO5knwUA3F2qnf9LV3S,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",Bobby Darin,happy,0 days 00:02:52.480000,0.723,0.521,0.516,0.0,0.257,-7.456,0.0369,136.483,0.569,4
Dream of Bombay,0ikd6zPPVvJefH8gN3IuKw,"['australian alternative rock', 'australian garage punk', 'australian indie', 'brisbane indie']",Viceroy,happy,0 days 00:04:48.392000,0.0155,0.719,0.599,0.00896,0.0526,-5.991,0.0453,119.971,0.429,4
The Twist,3ohLnESFgYACPMCkoTOzqE,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",Chubby Checker,happy,0 days 00:02:33.760000,0.202,0.533,0.638,0.0,0.0729,-7.13,0.0341,156.663,0.937,4
Tequila (Re-Recorded),4VkHBfAfYw7TexAMDRDoQq,"['rock-and-roll', 'rockabilly']",The Champs,happy,0 days 00:02:15.187000,0.14,0.377,0.988,0.658,0.0483,-1.568,0.107,88.352,0.489,4
Once in a Lifetime,1Tr4K5MU5XYE44umXGDndd,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",Talking Heads,happy,0 days 00:04:19.600000,0.0623,0.646,0.88,0.157,0.355,-7.753,0.0637,116.916,0.802,4
Fly Away,5ri4zqtWhG07hIuNNDWP76,"['australian pop', 'pop']",Tones And I,happy,0 days 00:02:58.157000,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,124.988,0.503,4
Lasting Lover,0DmAvNCAK08oCi7miSZUIY,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",Sigala,happy,0 days 00:03:38.359000,0.197,0.676,0.786,0.0,0.0943,-4.529,0.0478,125.983,0.483,4
The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Sam Feldt,happy,0 days 00:02:41.944000,0.0863,0.667,0.827,0.0,0.0565,-5.631,0.0368,107.95,0.573,4
Anyone,31qCy5ZaophVA81wtlwLc4,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,happy,0 days 00:03:10.779000,0.181,0.686,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,0.584,4
At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Martin Jensen,happy,0 days 00:02:50.614000,0.198,0.794,0.706,0.0,0.0536,-6.066,0.0382,116.032,0.908,4
Good Vibes,53kWAAfx7IopXRa31MQHB8,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",HRVY,happy,0 days 00:02:50.280000,0.274,0.558,0.877,0.0,0.162,-3.392,0.145,99.988,0.762,4
Good Vibes,53kWAAfx7IopXRa31MQHB8,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",HRVY,happy,0 days 00:02:52.711000,0.135,0.694,0.574,0.0,0.184,-6.247,0.0281,92.033,0.471,4
Love You Better,4UuGBDjt8gLXsANZqZxMBz,"['edm', 'pop dance', 'pop edm', 'swedish pop', 'swedish tropical house', 'tropical house']",John De Sohn,happy,0 days 00:02:50.893000,0.0931,0.733,0.786,0.0013,0.1,-7.494,0.0422,102.999,0.786,4
Dancing in the Moonlight (feat. NEIMY),5ow0sNF1zSqp71Ix5jEXWU,"['deep house', 'deep tropical house', 'edm', 'pop dance', 'tropical house']",Jubël,happy,0 days 00:02:44.010000,0.27,0.659,0.617,0.0,0.187,-5.862,0.0649,119.858,0.187,4
Slow Dance (feat. Ava Max) - Sam Feldt Remix,2wenGTypSYHXl1sN1pNC7X,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",AJ Mitchell,happy,0 days 00:03:13.548000,0.114,0.732,0.85,2.02e-06,0.0388,-5.999,0.0444,124.024,0.372,4
Friends,18RdChpgvaAO7GXDjLks2B,"['dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",Ella Henderson,happy,0 days 00:02:58.299000,0.198,0.747,0.537,1.26e-05,0.18,-5.76,0.0413,97.056,0.453,4
Together,5id3Rqn7SPj1LX4FfY4nGz,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Sia,happy,0 days 00:03:25.208000,0.0132,0.521,0.877,0.0806,0.0929,-5.444,0.0683,180.007,0.199,4
Wonder,5KCbr5ndeby4y4ggthdiAb,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,happy,0 days 00:03:33.353000,0.949,0.498,0.478,0.371,0.286,-10.629,0.0441,84.385,0.24,4
Wonder,5KCbr5ndeby4y4ggthdiAb,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,happy,0 days 00:02:52.693000,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,0.132,4
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,happy,0 days 00:03:32.093000,0.196,0.673,0.704,0.0,0.0898,-8.056,0.36,86.919,0.372,4
Get To Know You,3oiLlbBynuErymca4Dwp5H,"['channel pop', 'uk pop']",Samantha Harvey,happy,0 days 00:03:21.667000,0.0783,0.761,0.695,0.0,0.14,-4.048,0.0886,118.004,0.69,4
I Found You,3wYOGJYD31sLRmBgCvWxa4,"['dance pop', 'pop', 'post-teen pop']",Cash Cash,happy,0 days 00:02:47.308000,0.0714,0.646,0.761,0.0,0.222,-2.557,0.0385,129.916,0.472,4
What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",Jonas Brothers,happy,0 days 00:03:00.645000,0.00839,0.852,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039,0.324,4
Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,['nz pop'],Jason Derulo,happy,0 days 00:03:10.306000,0.0332,0.789,0.711,0.0,0.0876,-4.248,0.041,112.985,0.753,4
Dive,0Npijoc6ZcUe1devUugKvI,"['deep tropical house', 'pop dance', 'pop edm', 'tropical house']",Hot Shade,happy,0 days 00:03:12.632000,0.785,0.498,0.295,0.817,0.103,-9.691,0.0963,77.096,0.473,4
Dive,0Npijoc6ZcUe1devUugKvI,"['deep tropical house', 'pop dance', 'pop edm', 'tropical house']",Hot Shade,happy,0 days 00:02:44.490000,0.00515,0.654,0.787,0.0,0.144,-4.999,0.0502,123.978,0.409,4
I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV,"['alt z', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",NOTD,happy,0 days 00:03:27.668000,0.124,0.499,0.898,7.2e-06,0.0832,-4.181,0.124,120.04,0.618,4
Tangerine Skies,2VvHa9p1kkTmaCMq0exODA,"['indie cafe pop', 'uk pop']",Declan J Donovan,happy,0 days 00:03:12,0.0578,0.756,0.815,2e-05,0.387,-5.122,0.046,120.002,0.927,4
Drown (feat. Clinton Kane),4RVtBlHFKj51Ipvpfv5ER4,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",Martin Garrix,happy,0 days 00:02:54.062000,0.212,0.573,0.739,0.0,0.175,-5.455,0.0581,120.077,0.363,4
Bigger Than,5X73AYzzEE5Di0JwcQKt9N,['indie cafe pop'],Justin Jesso,happy,0 days 00:03:28.013000,0.151,0.421,0.669,0.0,0.635,-4.724,0.127,175.788,0.326,4
Lifestyle (feat. Adam Levine),0osvOdeD3YXZiWkT8MKolJ,['nz pop'],Jason Derulo,happy,0 days 00:02:33.865000,0.0209,0.749,0.674,0.0,0.169,-5.128,0.0366,123.055,0.711,4
Little Bit Of Love - Indian Summer Remix,4WEojtwHd0MUF3sPz5ITAj,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",JP Cooper,happy,0 days 00:03:25.200000,0.0133,0.708,0.758,1.04e-05,0.418,-4.453,0.0367,101.017,0.272,4
Take Care of You,7GajHE5z66qqmzTrKVFCab,"['dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",Ella Henderson,happy,0 days 00:03:14.235000,0.141,0.66,0.667,5.26e-05,0.107,-6.87,0.0474,114.901,0.452,4
Run,2UbVnbE5FH6008mAm6Mmgw,"['dance pop', 'piano rock', 'pop', 'pop rock', 'post-teen pop']",OneRepublic,happy,0 days 00:02:49.011000,0.326,0.682,0.72,0.0,0.148,-8.173,0.0381,117.003,0.673,4
Cover Me In Sunshine,6Tio0ZoDeSQnI7EBAqWer2,"['dance pop', 'pop', 'post-teen pop']",P!nk,happy,0 days 00:02:21.050000,0.0599,0.476,0.594,0.0,0.0785,-6.879,0.135,159.702,0.314,4
Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance']",Joel Corry,happy,0 days 00:02:46.028000,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,0.905,4
Lean On Me,43Hit5V2BpPq2vxvca3ysc,"['dance pop', 'edm', 'pop', 'pop dance']",Sandro Cavazza,happy,0 days 00:03:02.497000,0.412,0.799,0.419,0.0,0.203,-7.99,0.174,156.055,0.716,4
Little Bit Of Love,0VrgIjDkmDwlgZk54Try2u,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",JP Cooper,happy,0 days 00:03:15.452000,0.0636,0.659,0.801,0.0,0.341,-4.234,0.0435,105.991,0.334,4
Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,"['dance pop', 'pop', 'post-teen pop']",Lady Gaga,happy,0 days 00:03:02.200000,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,0.646,4
2 Hearts (feat. Gia Koka),0EdgK7ASb4kfRkW8pVMN02,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Sam Feldt,happy,0 days 00:03:06.750000,0.264,0.503,0.754,5.85e-05,0.297,-3.634,0.0424,116.524,0.597,4
Someone,68zNuCEl9UHTbcBltW2uDv,"['deep house', 'deep tropical house', 'edm', 'pop dance', 'tropical house']",Jubël,happy,0 days 00:03:01.102000,0.0531,0.7,0.904,8.03e-06,0.105,-4.03,0.0431,103.039,0.347,4
